,Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Front garden,Total number of floors,Age,New building,Renovation,Developer name,Project name,Kód jednotky,Administration fee,Investment Advisor
60,685604,"CZK 33,750",50.0865843,14.4323212,"Dlážděná, Prague - Nové Město",1 bedroom with open-plan kitchen,45 m²,"CZK 11,250",Furnished,2.0,No,No,No,No,No,Yes,No,02. 01. 2022,110.0,274,157,129,77,143,300,496,282,367.0,,,,,,,,,,,,,,,,,
61,697484,"CZK 16,097",50.0865462,14.4320578,"Dlážděná, Prague - Nové Město",Studio,36 m²,"CZK 5,365",Furnished,2.0,No,Yes,No,No,No,Yes,Yes,01. 03. 2022,123.0,287,160,141,79,130,287,500,285,354.0,,,,,,,,,,,,,,,,,
62,697483,"CZK 21,600",50.0873557,14.4001355,"Vlašská, Prague - Malá Strana",1 bedroom with open-plan kitchen,45 m²,"CZK 7,200",Furnished,4.0,Yes,No,No,No,No,No,No,01. 03. 2022,171.0,434,49,337,17,310,367,699,784,255.0,,,,,,,,,,,,,,,,,
63,697482,"CZK 20,250",50.0719171,14.4429188,"Rybalkova, Prague - Vinohrady",1 bedroom with open-plan kitchen,48 m²,"CZK 6,750",Furnished,3.0,No,No,No,No,No,Yes,No,01. 03. 2022,195.0,408,97,765,42,717,415,296,511,225.0,,,,,,,,,,,,,,,,,
64,697480,"CZK 20,441",50.0707465,14.4307581,"Wenzigova, Prague - Nové Město",1 bedroom with open-plan kitchen,90 m²,"CZK 6,814",Furnished,6.0,No,Yes,No,No,No,Yes,No,01. 03. 2022,231.0,547,213,435,47,356,108,477,535,521.0,,,,,,,,,,,,,,,,,
65,697479,"CZK 22,500",50.1059511,14.4731393,"Světova, Prague - Libeň",2 bedroom with open-plan kitchen,80 m²,"CZK 7,500",Furnished,3.0,No,No,No,No,No,No,No,01. 03. 2022,44.0,595,43,80,28,96,206,509,351,252.0,,,,,,,,,,,,,,,,,
66,697478,"CZK 19,238",50.1031428,14.4966166,"Českomoravská, Prague - Libeň",1 bedroom with open-plan kitchen,58 m²,"CZK 6,412",Furnished,4.0,Yes,No,No,No,No,Yes,No,01. 03. 2022,322.0,704,403,304,301,205,590,"1,142",544,506.0,,,,,,,,,,,,,,,,,
67,697477,"CZK 15,750",50.0716124,14.4594622,"Slovinská, Prague - Vršovice",1 bedroom with open-plan kitchen,42 m²,"CZK 5,250",Furnished,3.0,Yes,No,No,No,No,Yes,No,01. 03. 2022,152.0,674,40,445,81,448,262,312,748,277.0,,,,,,,,,,,,,,,,,
68,697476,"CZK 15,750",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",2 bedroom with open-plan kitchen,90 m²,"CZK 5,250",Furnished,2.0,No,No,No,No,No,No,No,01. 03. 2022,482.0,754,346,457,298,741,433,473,526,783.0,,,,,,,,,,,,,,,,,
69,697475,"CZK 20,625",50.0739629,14.4309041,"Rumunská, Prague - Vinohrady",1 bedroom with open-plan kitchen,55 m²,"CZK 6,875",Furnished,3.0,No,No,No,No,No,Yes,No,01. 03. 2022,181.0,525,82,168,45,95,309,378,542,609.0,,,,,,,,,,,,,,,,,
70,697473,"CZK 27,000",50.0739894,14.440101,"Francouzská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 9,000",Furnished,3.0,No,No,No,No,No,Yes,No,01. 03. 2022,149.0,274,60,441,20,421,59,552,690,457.0,,,,,,,,,,,,,,,,,
71,697472,"CZK 13,613",50.0688939,14.4549305,"Moskevská, Prague - Vršovice",Studio,45 m²,"CZK 4,537",Furnished,6.0,No,Yes,No,No,No,Yes,No,01. 03. 2022,36.0,292,4,69,73,85,70,342,226,388.0,,,,,,,,,,,,,,,,,
72,697471,"CZK 19,238",50.0984636,14.4253146,"Ovenecká, Prague - Holešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 6,412",Furnished,5.0,No,No,No,No,No,Yes,No,01. 03. 2022,220.0,310,47,185,156,218,202,"1,485",496,451.0,,,,,,,,,,,,,,,,,
73,697468,"CZK 22,350",50.1148427,14.4750191,"V Zahradách, Prague - Libeň",1 bedroom with open-plan kitchen,67 m²,"CZK 7,450",Furnished,2.0,Yes,Yes,No,No,No,Yes,Yes,01. 03. 2022,188.0,"1,403",485,"1,260",182,737,559,"1,425",906,405.0,,,,,,,,,,,,,,,,,
74,697467,"CZK 22,669",50.073131,14.3495147,"Weberova, Prague - Motol",2 bedroom with open-plan kitchen,88 m²,"CZK 7,556",Furnished,2.0,Yes,No,No,No,No,No,No,01. 03. 2022,119.0,339,291,422,812,875,662,,,,,,,,,,,,,,,,,,,,
75,617449,"CZK 15,000",50.058701,14.329511,"Za Mototechnou, Prague - Stodůlky",1 bedroom with open-plan kitchen,55 m²,"CZK 2,837",Partially furnished,2.0,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,146.0,706,704,"1,366","1,343",943,164,,,,New build,"CZK 30,000",Personal,Brick building,C,Premium materials and solutions,Central heating,,Middle floor,1 to 10 years years,,,,,,,
76,430813,"CZK 19,900",50.1262741,14.4319591,"Velká skála, Prague - Troja",2 bedroom with open-plan kitchen,93 m²,"CZK 5,000",Furnished,2.0,No,Yes,No,No,Yes,No,No,01. 01. 2022,361.0,626,69,"1,243",574,"1,042",547,475,481,469.0,Excellent,"CZK 24,900",Personal,Brick building,A,,District heating,,,,,,,,,,
77,696913,"CZK 12,000",50.01262,14.40006,"Vorařská, Prague - Modřany",Studio,43 m²,"CZK 2,800",Partially furnished,4.0,Yes,No,Yes,No,Yes,Yes,No,10. 01. 2022,226.0,"1,106",443,"1,350",768,"1,411","1,360",690,,,New build,"CZK 14,800",Personal,Brick building,B,Premium materials and solutions,Central heating,,Middle floor,,Yes,,,,,,
78,695301,"CZK 9,375",50.068042,14.5177497,"Mokřanská, Prague - Strašnice",Studio,20 m²,"CZK 3,125",Furnished,2.0,No,No,No,No,No,No,No,11. 01. 2022,77.0,679,731,809,968,808,"1,484",638,,,,,,,,,,,,,,,,,,,
79,697461,"CZK 14,824",50.063086,14.4469891,"U Pernštejnských, Prague - Nusle",1 bedroom with open-plan kitchen,44 m²,"CZK 3,247",,1.0,No,No,No,No,No,No,No,17. 12. 2021,310.0,735,349,439,325,481,624,636,802,693.0,Good,"CZK 18,071",Personal,Other,,,,,,,,,,,,,
80,697456,"CZK 9,412",50.1275571,14.4158994,"Mazurská, Prague - Troja",1 bedroom,30 m²,"CZK 2,244",,1.0,No,No,No,No,No,No,No,29. 12. 2021,158.0,244,238,179,179,192,424,631,306,,Good,"CZK 11,656",Personal,Other,,,,,,,,,,,,,
