Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Total number of floors,Condition,PENB,Age,Front garden,Renovation,New building,Administration fee,Developer name,Project name,Kód jednotky
705798,"CZK 16,000",50.06937,14.49583,"Krupská, Prague - Strašnice",2 bedroom,65 m²,"CZK 4,500",Furnished,3,No,No,Yes,Yes,Yes,Yes,No,11. 02. 2022,356,982,168,772,189,214,352,454,533,378,"CZK 20,000",Personal,Brick building,,,,Excellent,B,,,,,,,,
705796,"CZK 14,000",50.0698126,14.4979743,Prague - Strašnice,1 bedroom with open-plan kitchen,52 m²,"CZK 3,650",Unfurnished,3,No,No,No,No,No,No,No,09. 02. 2022,409,"1,033",192,823,171,290,431,418,600,286,"CZK 10,000",Personal,Brick building,,,,Good,G,,,,,,,,
691965,"CZK 17,000",50.0112896,14.5466177,"Formanská, Prague - Újezd u Průhonic",1 bedroom with open-plan kitchen,58 m²,"CZK 3,224",,1,No,No,No,No,No,No,No,05. 11. 2021,175,142,219,762,188,,,,,,"CZK 21,000",,Other,,,,Good,,,,,,,,,
699392,"CZK 23,764",50.0372335,14.5076748,"Donovalská, Prague - Chodov",3 bedroom,95 m²,"CZK 3,251",,3,No,No,No,No,No,No,No,10. 01. 2022,91,842,183,263,420,425,414,258,142,,"CZK 27,015",Personal,Other,,,,Good,,,,,,"CZK 3,565",,,
693515,"CZK 14,219",50.046684,14.4391279,"Na Strži, Prague - Krč",1 bedroom with open-plan kitchen,43 m²,"CZK 2,935",,1,No,No,No,No,No,No,No,16. 11. 2021,65,417,271,541,289,567,274,397,344,83,"CZK 17,000",Personal,Other,,,,Good,,,,,,,,,
691988,"CZK 12,500",50.0444974,14.4561091,"Jihlavská, Prague - Michle",2 bedroom,55 m²,"CZK 4,457",,1,No,No,No,No,No,No,No,01. 02. 2021,287,607,507,545,107,345,345,432,518,166,"CZK 17,000",,Other,,,,Good,,,,,,,,,
691990,"CZK 16,600",50.05393,14.44023,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,47 m²,"CZK 3,823",,1,No,No,No,No,Yes,No,No,01. 12. 2021,40,177,122,399,130,154,109,657,647,271,"CZK 21,000",,Other,,,,Good,,,,,,,,,
691991,"CZK 18,000",50.05393,14.44023,"5. května, Prague - Nusle",1 bedroom with open-plan kitchen,65 m²,"CZK 4,927",,1,No,No,No,No,Yes,No,No,24. 11. 2021,40,177,122,399,130,154,109,657,647,271,"CZK 25,000",,Other,,,,Good,,,,,,,,,
694143,"CZK 14,118",50.0812798,14.4589888,"Křišťanova, Prague - Žižkov",1 bedroom with open-plan kitchen,48 m²,"CZK 1,998",,1,No,No,No,No,No,No,No,30. 11. 2021,150,606,253,208,189,649,384,209,457,460,"CZK 16,116",Personal,Other,,,,Good,,,,,,,,,
697776,"CZK 26,111",50.0783621,14.4415313,"Polská, Prague - Vinohrady",3 bedroom with open-plan kitchen,100 m²,"CZK 5,073",,1,No,No,No,No,No,No,No,01. 12. 2021,224,540,240,297,83,267,259,366,91,432,"CZK 31,184",Personal,Other,,,,Good,,,,,,"CZK 2,611",,,
704020,"CZK 9,804",50.03969895,14.45848458331,"Budějovická, Prague - Krč",Studio,22 m²,"CZK 2,562",,1,No,No,No,No,No,No,No,25. 05. 2019,245,"1,205",382,928,252,528,887,"1,030","1,163",582,"CZK 12,366",Personal,Other,,,,Good,,,,,,"CZK 1,471",,,
703788,"CZK 12,400",50.0215761,14.4894951,"Jana Růžičky, Prague - Kunratice",1 bedroom with open-plan kitchen,45 m²,"CZK 3,136",,1,No,No,No,No,No,No,No,01. 03. 2022,111,891,165,984,391,184,210,194,471,92,"CZK 160,000",Personal,Other,,,,Good,,,,,,"CZK 1,941",,,
704847,"CZK 19,990",50.0678112,14.3414932,"Plzeňská, Prague - Motol",2 bedroom with open-plan kitchen,72 m²,"CZK 3,896",,1,No,No,No,No,No,No,No,01. 03. 2022,11,780,239,739,"1,414",801,939,,,,"CZK 24,000",,Other,,,,Good,,,,,,"CZK 3,353",,,
704852,"CZK 11,562",50.0590151,14.496039,"Chmelová, Prague - Záběhlice",Studio,27 m²,"CZK 2,099",,1,No,No,No,No,No,No,No,02. 02. 2022,264,618,299,821,536,322,452,831,366,145,"CZK 13,661",Personal,Other,,,,Good,,,,,,"CZK 1,734",,,
704711,"CZK 16,471",50.117933,14.4974471,"Trmická, Prague - Prosek",1 bedroom with open-plan kitchen,63 m²,"CZK 2,541",,1,No,No,No,No,No,No,No,01. 03. 2022,35,787,254,212,74,280,422,368,978,218,"CZK 19,012",Personal,Other,,,,Good,,,,,,"CZK 2,471",,,
704714,"CZK 15,294",50.1079046,14.5464423,"Lehovecká, Prague - Hloubětín",1 bedroom with open-plan kitchen,56 m²,"CZK 5,034",,1,No,No,No,No,No,No,No,01. 03. 2022,47,825,82,844,397,816,555,419,"1,060",533,"CZK 21,128",Personal,Other,,,,Good,,,,,,"CZK 2,294",,,
705044,"CZK 14,882",50.0812798,14.4589888,"Křišťanova, Prague - Žižkov",1 bedroom with open-plan kitchen,49 m²,"CZK 3,287",,1,No,No,No,No,No,No,No,03. 02. 2022,150,606,253,208,189,649,384,209,457,460,"CZK 18,169",Personal,Other,,,,Good,,,,,,"CZK 2,232",,,
705118,"CZK 13,176",50.1081129,14.4445619,"Plynární, Prague - Holešovice",Studio,30 m²,"CZK 1,300",,1,No,No,No,No,No,No,No,04. 02. 2022,168,657,261,670,72,148,351,"1,013",379,279,"CZK 15,152",Personal,Other,,,,Good,,,,,,"CZK 1,976",,,
705121,"CZK 13,765",50.0352752,14.3749354,"Gabinova, Prague - Hlubočepy",1 bedroom with open-plan kitchen,49 m²,"CZK 2,325",,1,No,No,No,No,No,No,No,04. 02. 2022,173,226,210,207,206,305,451,241,864,136,"CZK 16,090",Personal,Other,,,,Good,,,,,,"CZK 2,065",,,
705129,"CZK 15,294",50.1119688,14.4717363,"Primátorská, Prague - Libeň",1 bedroom with open-plan kitchen,49 m²,"CZK 2,775",,1,No,No,No,No,No,No,No,16. 03. 2022,309,"1,290",260,775,304,344,416,"1,121",421,206,"CZK 18,069",Personal,Other,,,,Good,,,,,,"CZK 2,294",,,
705467,"CZK 17,647",50.0450873,14.31337468771,"Heranova, Prague - Stodůlky",2 bedroom with open-plan kitchen,77 m²,"CZK 3,061",,4,No,No,No,No,No,No,No,07. 02. 2022,355,500,389,777,479,193,775,247,616,37,"CZK 20,708",Personal,Other,,,,Good,,,,,,"CZK 2,647",,,
647064,"CZK 14,500",50.075676,14.330181,"Bělohorská, Prague - Břevnov",1 bedroom with open-plan kitchen,49 m²,"CZK 3,900",Furnished,2,No,No,No,No,No,Yes,No,16. 04. 2022,92,476,467,832,568,"1,040",356,,,,"CZK 14,000",Personal,Brick building,,,,Excellent,B,,,,,,,,
630985,"CZK 8,600",50.067885,14.459642,"Moskevská, Prague - Vršovice",Studio,25 m²,"CZK 2,400",Partially furnished,3,Yes,No,Yes,No,No,Yes,No,01. 03. 2022,24,507,142,215,83,323,414,334,365,238,"CZK 11,000",Cooperative,Brick building,,,,Excellent,G,,,,,,,,
705787,"CZK 11,500",50.06866,14.36906,"Pod Školou, Prague - Košíře",Studio,27 m²,"CZK 3,000",Partially furnished,5,No,No,No,No,No,Yes,No,01. 04. 2022,283,799,333,455,290,348,191,"1,116",488,441,"CZK 11,500",Personal,Brick building,,,,Excellent,D,,,,,,,,
304590,"CZK 15,000",50.0381683,14.4401383,"Dolnokrčská, Prague - Krč",1 bedroom with open-plan kitchen,49 m²,"CZK 3,000",Unfurnished,1,No,Yes,No,No,No,No,No,01. 05. 2020,248,845,327,437,296,714,"1,132",633,954,523,"CZK 18,000",Personal,Brick building,Standard materials and solutions,Gas boiler,Ground floor,Excellent,C,1 to 10 years years,,,,,,,
704874,"CZK 19,900",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",1 bedroom with open-plan kitchen,50 m²,CZK 133,Furnished,12,No,No,Yes,No,Yes,Yes,No,07. 02. 2022,,,,,,,,,,,"CZK 39,800",Personal,Other,Premium materials and solutions,,Middle floor,Excellent,A,1 to 10 years years,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1209
693963,"CZK 19,100",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",2 bedroom,52 m²,CZK 133,Furnished,10,No,No,Yes,No,Yes,Yes,No,14. 01. 2022,,,,,,,,,,,"CZK 38,200",Personal,Other,Premium materials and solutions,,Middle floor,Excellent,A,1 to 10 years years,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,1016
686770,"CZK 13,100",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",Studio,31 m²,CZK 133,Furnished,4,No,No,Yes,No,Yes,Yes,No,07. 03. 2022,,,,,,,,,,,"CZK 26,200",Personal,Other,,,Middle floor,Excellent,A,1 to 10 years years,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,425T
559541,"CZK 15,000",50.124202,14.4895774,"Bohušovická, Prague - Střížkov",1 bedroom with open-plan kitchen,53 m²,"CZK 3,000",Furnished,4,Yes,No,No,No,No,No,No,14. 02. 2022,273,775,132,714,455,370,493,254,470,210,"CZK 45,000",Personal,Brick building,Standard materials and solutions,Central heating,Middle floor,,,1 to 10 years years,,,Yes,,,,
705427,"CZK 45,000",50.04595,14.32223,"Mukařovského, Prague - Stodůlky",4 bedroom with open-plan kitchen,163 m²,"CZK 13,310",Furnished,8,No,Yes,Yes,No,Yes,Yes,No,25. 03. 2022,,,,,,,,,,,"CZK 90,000",Personal,Other,,,,Excellent,A,,,,Yes,,Luka Residential s.r.o.,Luka Living Rental apartments,815
689177,"CZK 19,000",50.07306,14.43085,"Tyršova, Prague - Nové Město",1 bedroom with open-plan kitchen,34 m²,"CZK 3,600",Furnished,4,No,No,No,No,No,Yes,No,01. 03. 2022,183,529,119,213,30,197,368,453,637,687,"CZK 19,000",Personal,Brick building,Premium materials and solutions,Central heating,,Excellent,G,1 to 10 years years,,Overall,,,,,
705617,"CZK 12,000",50.06466,14.45598,"Přípotoční, Prague - Vršovice",1 bedroom with open-plan kitchen,35 m²,"CZK 3,500",Unfurnished,4,No,No,No,No,No,Yes,No,08. 02. 2022,243,306,242,550,259,625,219,474,411,184,"CZK 15,500",Personal,Brick building,,,,Good,C,,,,,,,,
599863,"CZK 10,900",50.126316,14.505303,"Kytlická, Prague - Prosek",Studio,33 m²,"CZK 3,000",Furnished,5,No,No,No,No,No,Yes,No,01. 02. 2022,294,914,120,943,329,"1,020",113,589,"1,443",161,"CZK 13,900",Personal,Brick building,Standard materials and solutions,Central heating,Middle floor,New build,A,10 to 30 years years,,,,,,,
