Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Floor space,Fully furnished,Condition,Ownership,Heating,Balcony,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,EPC,Enclosed balcony,Cellar,Reconstruction,Designe,New-build,Parking,Domácí mazlíčci vítáni,Age,Garage,Terrace,Administrative fee
"CZK 19,800","CZK 6,600",,735462,3+1,10/19/2022,5,,90 m²,Fully furnished,,,,,1.0,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,
"CZK 51,656","CZK 17,219",,728895,2 bedroom,10/6/2022,4,,60 m²,Fully furnished,,,,,1.0,110.1,392.87,177.02,129.22,79.72,168.29,299.92,497.22,273.67,349.66,"Dlážděná, Prague - Nové Město",50.0865843,14.4323212,,,,,,,,,,,,
"CZK 27,830","CZK 9,277",,728696,2+kk,10/4/2022,5,,45 m²,Fully furnished,,,,,,120.02,538.45,85.43,335.62,47.85,333.62,182.79,195.16,543.36,341.26,"Lípová, Prague - Nové Město",50.0747395,14.424046,,,,,,,,,,,,
"CZK 16,300","CZK 2,500","CZK 31,000",740904,1 bedroom,11/1/2022,2,Brick,35 m²,Partly,Very good,,Electric boiler,,1.0,80.09,644.56,163.7,463.01,139.89,580.56,391.87,598.77,329.88,180.06,Prague - Vysočany,50.11044,14.50844,,,1.0,Interior,Standard,,,,Over 50 years,,,
"CZK 21,500",CZK 0,"CZK 25,000",736216,Small studio,9/12/2022,2,Brick,40 m²,Fully furnished,Very good,,,,1.0,188.61,665.38,138.31,582.02,12.68,635.95,359.43,352.67,364.12,161.68,Prague - Vršovice,50.07099,14.44582,G,,1.0,,,1.0,1.0,,,1.0,,
"CZK 12,700","CZK 1,700","CZK 20,000",697041,Studio,1/1/2022,3,Brick,35 m²,Unfurnished,Good,Personal,Central,,1.0,146.95,1516.04,82.45,1034.06,184.59,543.01,271.56,795.82,561.32,143.76,"Braunerova, Prague - Libeň",50.11317,14.47535,D,,,Complete,Standard,,,,10 to 30 years,,,
"CZK 24,746","CZK 2,746","CZK 48,000",729276,2+kk,10/1/2022,3,Brick,67 m²,Fully furnished,Very good,,,1.0,1.0,111.04,906.67,54.66,823.1,19.22,367.11,296.48,265.97,89.92,140.7,Prague - Břevnov,50.08491,14.37892,G,,,,,,1.0,,,,,
"CZK 27,000","CZK 6,820","CZK 40,000",735489,2+kk,9/18/2022,3,Brick,57 m²,Fully furnished,New-build,Personal,,,1.0,372.2,1186.23,751.01,1390.52,180.6,1087.12,919.65,1229.04,105.92,333.17,Prague - Střešovice,50.0945,14.36816,B,1.0,1.0,,,1.0,,,,1.0,,
"CZK 36,675","CZK 12,225",,731158,2+kk,10/24/2022,2,,55 m²,Fully furnished,,,,,1.0,170.48,421.6,257.32,426.75,52.86,339.7,54.65,63.39,473.33,754.41,"Balbínova, Prague - Vinohrady",50.0795659,14.4357789,,,,,,,,,,,,
"CZK 14,000","CZK 3,000","CZK 30,000",731675,Studio,9/20/2022,4,Brick,34 m²,Fully furnished,Very good,,,,1.0,159.96,318.63,144.94,410.41,117.64,270.71,737.06,831.3,943.97,238.54,Prague - Uhříněves,50.03064,14.59533,G,1.0,1.0,,,,1.0,,,,,
"CZK 21,000","CZK 4,500","CZK 21,000",429293,2+kk,9/25/2022,5,Brick,53 m²,Unfurnished,,Personal,,,1.0,48.72,1285.22,71.13,89.87,159.58,137.84,152.0,374.63,188.75,251.3,"Na Vápence, Prague - Žižkov",50.0912147,14.4749068,F,,1.0,,,,,,,,,
"CZK 13,500","CZK 4,500","CZK 25,000",740371,2+kk,11/1/2022,3,Prefab concrete,46 m²,Partly,Very good,,,,1.0,271.13,822.14,255.41,3242.16,336.23,607.79,545.94,2194.8,1617.83,715.97,Prague - Písnice,50.00343,14.46142,G,,1.0,,,,,,,,,
