Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Design,Heating,Renovation,PENB,Age,Total number of floors,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
639338,"CZK 10,500",50.134049,14.50717,"Tupolevova, Prague - Letňany",1 bedroom,35 m²,"CZK 4,500",Furnished,5,Yes,No,No,No,No,Yes,Yes,01. 12. 2020,194,931,193,462,479,479,143,270,302,259,Excellent,"CZK 10,000",Personal,Prefab concrete building,,,,B,,,,,,,,,
367267,"CZK 9,000",50.0918446,14.4446613,"Vítkova, Prague - Karlín",Studio,29 m²,"CZK 2,500",Partially furnished,2,No,No,No,No,No,No,No,03. 03. 2022,139,335,60,409,83,384,152,"1,133",492,504,,"CZK 9,000",Cooperative,Brick building,,,,,,,,,,,,,
223233,"CZK 15,000",50.0463801,14.4423693,"U nových domů III, Prague - Krč",1 bedroom with open-plan kitchen,55 m²,"CZK 3,500",Furnished,3,No,No,Yes,Yes,No,Yes,No,01. 04. 2022,262,437,90,413,116,370,153,561,563,303,Excellent,"CZK 15,000",Cooperative,Brick building,,Gas boiler,,C,,Middle floor,,,,,,,
709056,"CZK 13,000",50.01368,14.43367,"Zárubova, Prague - Kamýk",1 bedroom with open-plan kitchen,52 m²,"CZK 5,500",Partially furnished,3,No,No,No,No,No,Yes,No,01. 04. 2022,410,"1,496",339,"1,488",843,330,156,416,651,281,Excellent,"CZK 13,000",Personal,Prefab concrete building,,,,G,,,,,,,,,
584667,"CZK 13,000",50.08678,14.454071,"Roháčova, Prague - Žižkov",1 bedroom,36 m²,"CZK 2,000",Unfurnished,3,No,No,No,No,No,Yes,No,01. 12. 2019,129,180,96,506,110,245,349,294,349,435,Excellent,"CZK 20,000",Other,Brick building,,,,D,,,,,,,,,
306364,"CZK 15,500",50.103672,14.487398,Prague - Libeň,1 bedroom with open-plan kitchen,43 m²,"CZK 3,859",Partially furnished,12,No,No,No,No,No,No,No,07. 03. 2022,57,296,206,139,74,284,340,782,397,157,,"CZK 31,000",Personal,Other,,,,,,,,,,,,,
707660,"CZK 65,000",50.07423,14.44409,"Šumavská, Prague - Vinohrady",4 bedroom,164 m²,"CZK 4,900",Furnished,4,No,No,Yes,No,No,Yes,No,28. 02. 2022,142,108,94,612,75,377,285,257,475,229,Excellent,,Personal,Brick building,,,,B,,,,,,,,,
705377,"CZK 17,000",50.013,14.40077,"Pískařská, Prague - Modřany",1 bedroom with open-plan kitchen,44 m²,"CZK 2,900",Partially furnished,,No,Yes,No,No,Yes,Yes,Yes,01. 03. 2022,147,"1,079",416,"1,323",741,"1,384","1,245",663,,,Excellent,"CZK 34,000",Personal,Brick building,,District heating,,C,,Middle floor,,,,,,,
588250,"CZK 17,000",50.091483,14.433237,"Petrská, Prague - Nové Město",Studio,49 m²,"CZK 1,000",Furnished,3,No,No,No,No,No,Yes,No,14. 03. 2022,83,352,6,262,26,209,164,160,522,346,Excellent,"CZK 17,000",Personal,Brick building,,Gas boiler,,G,,,,,,,,,
563249,"CZK 16,000",50.0623095,14.3256648,"5. máje, Prague - Stodůlky",1 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,1,Yes,No,No,No,Yes,No,No,01. 03. 2022,485,"1,479","1,251",799,"1,296","1,308","1,488",572,,,Excellent,"CZK 21,000",Personal,Brick building,Standard materials and solutions,Gas boiler,Overall,,,Ground floor,,,,,,,
