Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Heating,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Refundable security deposit,Design,Total number of floors,Renovation,Age,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
671474,"CZK 12,000",50.10712,14.49347,"Drahobejlova, Prague - Libeň",1 bedroom with open-plan kitchen,Good,39 m²,"CZK 1,400",Personal,Brick building,Partially furnished,3,No,No,Yes,No,No,No,No,19. 07. 2021,Other,G,191,385,113,596,91,184,270,495,282,223,,Standard materials and solutions,,,,,,,,,
91505,"CZK 13,000",50.0708166,14.5025459,"Žinkovská, Prague - Strašnice",1 bedroom with open-plan kitchen,,50 m²,"CZK 3,000",,Brick building,Furnished,6,No,Yes,No,No,No,No,No,17. 05. 2020,,,322,"1,286",329,"1,074",534,630,308,417,937,61,"CZK 32,000",,,,,,,,,,
671225,"CZK 15,000",50.0426307,14.4396098,Prague - Krč,2 bedroom,Excellent,56 m²,CZK 500,Personal,Brick building,Partially furnished,,No,No,Yes,No,No,No,No,01. 02. 2022,,G,103,348,127,349,47,376,665,295,497,238,"CZK 20,000",,Ground floor,,,,,,,,
696374,"CZK 25,000",50.08904,14.40122,"Thunovská, Prague - Malá Strana",1 bedroom with open-plan kitchen,Excellent,90 m²,"CZK 3,000",Personal,Brick building,Furnished,4,No,No,No,No,No,No,No,14. 01. 2022,,C,140,426,142,314,13,101,339,691,915,594,"CZK 25,000",,,,,,,,,,
168222,"CZK 7,000",50.0450408,14.4739278,"Severní IX, Prague - Záběhlice",Small studio,,27 m²,"CZK 1,900",Personal,Brick building,Furnished,1,Yes,No,No,No,No,No,No,,,,259,"1,134",267,221,370,"1,458",782,669,216,270,"CZK 9,000",,,,,,,,,,
696026,"CZK 6,000",50.07225,14.39608,"Plzeňská, Prague - Smíchov",Small studio,Excellent,15 m²,"CZK 2,000",Other,Brick building,Furnished,1,No,No,No,No,No,Yes,No,14. 12. 2021,,G,201,669,27,360,39,511,190,"1,143",743,350,"CZK 5,000",,,,,,,,,,
699787,"CZK 20,000",50.03658,14.37323,"Lamačova, Prague - Hlubočepy",4 bedroom,Excellent,90 m²,"CZK 5,000",Personal,Prefab concrete building,Partially furnished,6,Yes,No,No,No,No,Yes,No,01. 02. 2022,Central heating,D,318,419,229,400,350,463,520,313,941,225,"CZK 20,000",,Middle floor,Bathroom unit,,,,,,,
656987,"CZK 15,000",50.08321,14.37903,"Za Strahovem, Prague - Břevnov",2 bedroom,Good,56 m²,CZK 725,Personal,Brick building,Partially furnished,4,No,No,Yes,Yes,Yes,No,No,15. 03. 2022,Gas boiler,D,288,991,342,850,172,655,575,552,354,244,"CZK 15,000",,Middle floor,,,,,,,,
617449,"CZK 15,000",50.058701,14.329511,"Za Mototechnou, Prague - Stodůlky",1 bedroom with open-plan kitchen,New build,55 m²,"CZK 3,017",Personal,Brick building,Partially furnished,2,Yes,No,Yes,No,Yes,Yes,No,01. 03. 2022,Central heating,C,146,706,704,"1,366","1,343",943,164,,,,"CZK 30,000",Premium materials and solutions,Middle floor,,1 to 10 years years,,,,,,
697628,"CZK 25,200",50.0698543,14.4154824,"Podskalská, Prague - Nové Město",2 bedroom with open-plan kitchen,Excellent,67 m²,"CZK 3,500",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 02. 2022,,G,255,830,85,332,88,110,299,198,352,280,"CZK 50,400",,,,,,,,,,
