Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,Renovation,PENB,Design,Front garden,New building,Administration fee,Developer name,Project name,Kód jednotky
603343,"CZK 42,500",50.085203,14.428022,"Nekázanka, Prague - Nové Město",Other,114 m²,"CZK 5,000",Furnished,5,No,No,No,No,No,Yes,No,01. 05. 2022,232,136,116,213,140,227,297,701,403,667,Excellent,"CZK 47,500",Personal,Brick building,30 to 50 years years,Central heating,Top floor,Overall,G,Premium materials and solutions,,,,,,
453637,"CZK 14,500",50.1412404,14.510172,"Kuželova, Prague - Letňany",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,8,Yes,No,No,No,No,Yes,No,22. 04. 2022,389,777,192,"1,061",400,377,543,309,551,81,Excellent,"CZK 29,000",Personal,Brick building,,Electric boiler,Top floor,,,Standard materials and solutions,,,,,,
705981,"CZK 13,990",50.08524,14.44984,"Štítného, Prague - Žižkov",Studio,30 m²,CZK 760,Partially furnished,1,No,No,No,No,No,Yes,No,29. 04. 2022,255,222,50,211,7,189,62,278,94,553,Excellent,"CZK 25,000",Personal,Other,1 to 10 years years,Other,Middle floor,Overall,C,Standard materials and solutions,,,,,,
716034,"CZK 12,500",50.0605665,14.427394,"Mikuláše z Husi, Prague - Nusle",Studio,31 m²,CZK 500,Partially furnished,3,Yes,No,Yes,No,No,No,No,01. 05. 2022,63,686,39,246,15,354,416,100,138,255,Good,"CZK 13,000",Personal,Brick building,,,,,G,,,,,,,
563249,"CZK 16,000",50.0623095,14.3256648,"5. máje, Prague - Stodůlky",1 bedroom with open-plan kitchen,60 m²,"CZK 4,000",Partially furnished,1,Yes,No,No,No,Yes,No,No,01. 05. 2022,485,"1,479","1,251",799,"1,296","1,308","1,488",572,,,Excellent,"CZK 21,000",Personal,Brick building,,Gas boiler,Ground floor,Overall,,Standard materials and solutions,,,,,,
52689,"CZK 12,000",50.0798736,14.4868594,"Počernická, Prague - Strašnice",Studio,36 m²,"CZK 2,215",Furnished,1,Yes,Yes,No,No,No,No,No,01. 05. 2022,133,695,208,479,369,294,718,599,359,290,,"CZK 20,000",Personal,Brick building,,,,,,,,,,,,
433813,"CZK 15,000",50.0563315,14.2828153,"Sazovická, Prague - Zličín",1 bedroom with open-plan kitchen,58 m²,"CZK 2,500",Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,86,"1,102",756,686,911,810,300,"1,049",149,,New build,"CZK 40,000",Personal,Brick building,1 to 10 years years,District heating,,,A,Premium materials and solutions,,Yes,,,,
716097,"CZK 14,000",50.08415,14.44908,"Víta Nejedlého, Prague - Žižkov",1 bedroom with open-plan kitchen,47 m²,CZK 500,Partially furnished,2,No,No,No,No,No,No,No,01. 05. 2022,287,125,75,152,66,146,133,200,244,514,New build,"CZK 30,000",Personal,Brick building,,,,,G,,,,,,,
31263,"CZK 16,000",50.1115724,14.4775255,Prague - Libeň,3 bedroom,70 m²,"CZK 3,820",Unfurnished,,No,No,No,No,No,No,No,27. 04. 2022,207,"1,286",438,977,150,622,756,"1,018",699,41,Good,"CZK 20,000",Personal,Brick building,,Electric boiler,Ground floor,Interior,,Standard materials and solutions,,,,,,
713806,"CZK 9,000",49.99684,14.3205,"Na Cikánce, Prague - Radotín",Studio,25 m²,"CZK 2,000",Furnished,1,No,No,No,No,No,No,No,01. 05. 2022,127,,,,,,,,,,Excellent,"CZK 22,000",Personal,Brick building,,,,,G,,,,,,,
