Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,New building,Design,Heating,Total number of floors,Renovation,Administration fee,Age,Developer name,Project name,Kód jednotky,Front garden,Investment Advisor
482525,"CZK 18,250",50.086769801288,14.345216747607,"Brunclíkova, Prague - Břevnov",2 bedroom,53 m²,"CZK 4,250",Partially furnished,7,Yes,No,No,No,No,No,No,01. 06. 2022,15,602,259,337,121,355,258,231,636,171,Excellent,"CZK 30,000",Personal,Prefab concrete building,D,,,District heating,Top floor,Overall,,1 to 10 years years,,,,,
601619,"CZK 26,000",50.074884,14.390641,"Švédská, Prague - Smíchov",3 bedroom,92 m²,"CZK 3,500",Furnished,3,No,Yes,No,No,No,No,No,13. 04. 2020,55,"1,308",262,"1,216",509,"1,167",801,529,"1,238",581,Excellent,"CZK 26,000",Personal,Brick building,C,,Standard materials and solutions,Central heating,Ground floor,Overall,,over 50 years years,,,,450 m²,
714283,"CZK 21,900",50.05814,14.37359,"Nyklíčkova, Prague - Jinonice",1 bedroom with open-plan kitchen,42 m²,"CZK 4,000",Furnished,1,No,Yes,Yes,No,Yes,Yes,Yes,03. 05. 2022,156,365,313,"1,248",325,427,967,164,"1,424",210,New build,CZK 2,Personal,Brick building,C,,,,,,,,,,,,
672495,"CZK 17,000",50.10288,14.50127,"Na Harfě, Prague - Vysočany",1 bedroom with open-plan kitchen,56 m²,"CZK 3,000",Furnished,2,Yes,No,No,No,Yes,Yes,No,22. 06. 2022,302,"1,092",220,635,368,536,366,857,"1,039",584,New build,"CZK 20,000",Personal,Brick building,G,Yes,Premium materials and solutions,Central heating,Middle floor,Overall,,1 to 10 years years,,,,,
698222,"CZK 14,000",50.03826,14.34216,"Borovanského, Prague - Stodůlky",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Partially furnished,3,No,No,No,No,Yes,Yes,No,10. 01. 2022,328,274,280,"1,113",441,315,286,412,432,94,Excellent,"CZK 30,000",Personal,Prefab concrete building,G,,,,,,,,,,,,
605938,"CZK 17,000",50.106098,14.43089,Prague - Bubeneč,2 bedroom,55 m²,CZK 750,Partially furnished,1,Yes,No,No,No,No,Yes,No,15. 07. 2022,785,"1,111","1,348",124,"1,058","1,089",838,599,,,Excellent,"CZK 17,000",Personal,Brick building,A,,Standard materials and solutions,Gas boiler,Middle floor,Overall,,,,,,50 m²,
291697,"CZK 12,800",50.0517467,14.5312487,"Hornoměcholupská, Prague - Hostivař",1 bedroom with open-plan kitchen,32 m²,"CZK 1,800",Furnished,1,No,No,No,No,No,No,No,,201,"1,126",476,"1,078",112,"1,130",566,635,499,503,,,Personal,Brick building,,,,,,,,,,,,,
717523,"CZK 20,000",50.02973,14.59703,"Oty Bubeníčka, Prague - Uhříněves",Studio,32 m²,"CZK 3,000",Furnished,3,No,No,Yes,Yes,Yes,Yes,No,15. 06. 2022,153,292,295,401,213,265,711,814,918,101,New build,"CZK 50,000",Personal,Brick building,B,,,,,,,,,,,,
718455,"CZK 12,000",50.10238,14.50301,"Freyova, Prague - Vysočany",1 bedroom with open-plan kitchen,37 m²,CZK 500,Partially furnished,1,No,No,No,No,No,No,No,20. 05. 2022,90,"1,051",2,560,175,573,129,816,"1,034",544,Excellent,"CZK 12,000",Personal,Brick building,G,,Standard materials and solutions,Gas boiler,Ground floor,Overall,,,,,,,
616335,"CZK 47,000",50.104941,14.371193,Prague - Dejvice,4 bedroom,150 m²,"CZK 7,000",Partially furnished,1,Yes,Yes,No,No,No,No,No,01. 06. 2022,182,"1,435",159,"1,072",168,149,446,579,420,195,Excellent,"CZK 50,000",Personal,Brick building,A,,Premium materials and solutions,Gas boiler,Raised ground floor,Overall,,,,,,150 m²,
717733,"CZK 12,500",50.06077,14.39233,"Štorkánova, Prague - Smíchov",1 bedroom,35 m²,"CZK 2,500",Partially furnished,1,No,No,Yes,No,No,No,No,08. 05. 2022,185,648,608,483,284,"1,063",573,339,476,220,Good,"CZK 15,000",Personal,Brick building,G,,,,,,,,,,,,
534737,"CZK 15,600",50.105589,14.538816,"Zelenečská, Prague - Hloubětín",1 bedroom with open-plan kitchen,54 m²,"CZK 2,350",Partially furnished,4,Yes,No,Yes,No,No,No,No,30. 06. 2022,43,36,47,54,235,109,495,417,295,266,Excellent,"CZK 35,900",Personal,Brick building,C,,Premium materials and solutions,District heating,Top floor,Overall,,1 to 10 years years,,,,,
718452,"CZK 14,500",50.06571,14.30707,"Bazovského, Prague - Řepy",1 bedroom with open-plan kitchen,52 m²,"CZK 4,500",Partially furnished,,No,No,Yes,No,No,Yes,No,13. 05. 2022,235,323,182,366,53,275,448,328,"1,496",381,Excellent,"CZK 29,000",Personal,Prefab concrete building,C,,,,,,,,,,,,
615750,"CZK 15,000",50.039692,14.458488,"Budějovická, Prague - Krč",Studio,42 m²,"CZK 2,800",Furnished,1,No,Yes,Yes,No,Yes,No,No,01. 06. 2022,246,"1,206",383,929,252,529,888,"1,030","1,164",582,New build,"CZK 30,000",Personal,Brick building,C,,Premium materials and solutions,District heating,Ground floor,Overall,,1 to 10 years years,,,,17 m²,
718446,"CZK 10,000",50.12639,14.42051,"Hnězdenská, Prague - Troja",Studio,40 m²,"CZK 4,389",Partially furnished,4,No,No,No,No,No,No,No,01. 06. 2022,231,254,267,324,118,268,776,965,"1,244",396,Excellent,"CZK 20,000",Personal,Prefab concrete building,B,,,,,,,,,,,,
718444,"CZK 14,118",50.08897,14.37166,"Ve Střešovičkách, Prague - Střešovice",1 bedroom with open-plan kitchen,55 m²,"CZK 4,516",Partially furnished,2,No,No,No,No,No,No,No,01. 06. 2022,377,951,199,"1,014",321,419,574,698,412,320,Excellent,"CZK 28,000",Personal,Brick building,B,,,,,,,,,,,,
175966,"CZK 13,000",50.0470514,14.3144383,"Klukovická, Prague - Stodůlky",1 bedroom with open-plan kitchen,43 m²,"CZK 4,000",Furnished,4,No,No,No,No,No,No,No,,208,448,319,685,365,232,637,172,478,216,,,Personal,Prefab concrete building,,,Standard materials and solutions,District heating,Middle floor,Overall,,1 to 10 years years,,,,,
501454,"CZK 17,500",50.090267,14.4711521,"Rečkova, Prague - Žižkov",1 bedroom with open-plan kitchen,43 m²,"CZK 3,500",Furnished,7,No,Yes,Yes,No,No,Yes,No,01. 06. 2022,105,924,70,269,77,242,343,298,546,416,Excellent,"CZK 30,000",Personal,Brick building,,,Standard materials and solutions,Gas boiler,,Overall,,,,,,,
688240,"CZK 20,000",50.05428,14.5265,"Vladycká, Prague - Hostivař",1 bedroom with open-plan kitchen,55 m²,"CZK 2,600",Furnished,1,Yes,No,No,No,No,Yes,No,15. 06. 2022,267,816,120,779,414,820,"1,153",525,373,376,Excellent,"CZK 40,000",Personal,Brick building,G,,Standard materials and solutions,,Middle floor,Interior,,,,,,,
658726,"CZK 25,000",50.10878,14.39881,"Albánská, Prague - Bubeneč",1 bedroom with open-plan kitchen,80 m²,"CZK 3,000",Partially furnished,2,No,No,No,Yes,Yes,No,No,01. 08. 2021,274,"1,410",291,719,330,693,370,343,787,147,Excellent,"CZK 25,000",Personal,Brick building,B,,Standard materials and solutions,District heating,Middle floor,Overall,,1 to 10 years years,,,,,
718439,"CZK 12,000",50.02656,14.45334,"Ružinovská, Prague - Krč",1 bedroom with open-plan kitchen,40 m²,"CZK 1,000",Furnished,7,No,No,No,No,No,Yes,No,13. 05. 2022,196,"1,054",129,485,707,668,"1,302",117,138,,Excellent,"CZK 15,000",Personal,Prefab concrete building,C,,,,,,,,,,,,
573663,"CZK 18,900",50.0899503,14.3420175,"Na Okraji, Prague - Veleslavín",1 bedroom with open-plan kitchen,65 m²,"CZK 4,500",Partially furnished,4,Yes,No,Yes,No,No,Yes,No,11. 04. 2022,188,582,118,232,196,272,254,118,913,245,New build,"CZK 30,000",Personal,Brick building,C,Yes,Premium materials and solutions,Central heating,Top floor,,,1 to 10 years years,,,,,
718437,"CZK 30,000",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",4 bedroom,120 m²,"CZK 10,000",Furnished,6,No,Yes,No,No,No,Yes,No,01. 07. 2022,482,754,346,457,298,741,433,473,526,783,,,,,,,,,,,,,,,,,
718435,"CZK 18,750",50.0862376,14.4435427,"Řehořova, Prague - Žižkov",3 bedroom,90 m²,"CZK 6,250",Furnished,4,No,No,No,No,No,Yes,No,01. 06. 2022,482,754,346,457,298,741,433,473,526,783,,,,,,,,,,,,,,,,,
718431,"CZK 13,000",50.02167,14.48816,"Jana Růžičky, Prague - Kunratice",1 bedroom with open-plan kitchen,45 m²,"CZK 2,200",Unfurnished,2,No,No,No,No,No,Yes,No,01. 06. 2022,161,890,46,983,329,122,201,131,574,186,Excellent,"CZK 15,000",Personal,Prefab concrete building,G,,,District heating,Middle floor,Interior,,,,,,,
617044,"CZK 21,500",50.076949,14.4649,"Písecká, Prague - Vinohrady",1 bedroom with open-plan kitchen,53 m²,"CZK 4,000",Furnished,1,No,No,No,No,No,No,No,01. 06. 2022,197,200,66,307,120,375,159,672,203,172,Excellent,"CZK 25,500",Personal,Brick building,F,,Premium materials and solutions,Gas boiler,Raised ground floor,Interior,,30 to 50 years years,,,,,
680915,"CZK 29,000",50.09174,14.44246,"Prvního pluku, Prague - Karlín",1 bedroom with open-plan kitchen,60 m²,"CZK 3,500",Furnished,1,No,Yes,Yes,No,Yes,No,No,01. 06. 2022,208,408,151,207,58,181,363,930,293,284,Excellent,"CZK 32,500",Personal,Brick building,G,,,,,,,,,,,,
718429,"CZK 16,500",50.05152,14.46019,"Vnější, Prague - Michle",1 bedroom,53 m²,"CZK 4,000",Partially furnished,2,No,No,No,No,No,No,No,20. 05. 2022,275,944,371,956,245,835,564,658,865,455,Excellent,"CZK 16,500",Personal,Brick building,C,,,,,,,,,,,,
476207,"CZK 26,000",50.0648387,14.4266126,"Nezamyslova, Prague - Nusle",2 bedroom,80 m²,,Furnished,4,Yes,No,No,No,No,No,No,,118,606,34,402,51,332,587,637,455,268,,"CZK 50,000",Personal,Brick building,,,,Central heating,Top floor,Interior,,,,,,,
