Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Design,Heating,Total number of floors,Front garden,Renovation,Age,Administration fee,New building,Developer name,Project name,Kód jednotky
700112,"CZK 11,500",50.10595,14.58328,"Bryksova, Prague - Černý Most",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 3,000","CZK 20,000",Personal,Prefab concrete building,Partially furnished,5,No,No,No,No,Yes,Yes,No,01. 03. 2022,C,581,630,372,420,456,767,"1,395",600,567,,,District heating,Middle floor,,Exterior,,,,,,
654848,"CZK 14,900",50.07251,14.46021,"Ruská, Prague - Vršovice",2 bedroom,Good,62 m²,"CZK 2,400","CZK 20,000",Personal,Brick building,Partially furnished,1,No,Yes,No,No,No,Yes,No,15. 01. 2022,F,1,748,92,524,185,522,336,202,701,202,,,,,,,,,,,
700113,"CZK 11,900",50.0715099,14.4680919,"28. pluku, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,40 m²,"CZK 4,000","CZK 11,900",Cooperative,Brick building,Partially furnished,2,No,No,Yes,No,No,Yes,No,19. 01. 2022,A,206,601,286,466,118,299,284,156,825,97,,,,,,,,,,,
698674,"CZK 14,000",50.0718,14.48473,"Pod Rapidem, Prague - Vršovice",1 bedroom with open-plan kitchen,Excellent,39 m²,"CZK 2,000","CZK 14,000",Personal,Brick building,Unfurnished,1,No,No,No,No,No,No,No,01. 02. 2022,C,65,651,288,468,35,161,580,419,616,224,,,,,,,,,,,
700081,"CZK 15,000",50.10783,14.39241,"Kotěrova, Prague - Dejvice",1 bedroom with open-plan kitchen,Excellent,52 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Furnished,1,No,No,No,No,No,No,No,31. 08. 2022,B,258,"1,250",241,645,289,65,660,234,628,474,Premium materials and solutions,Central heating,Ground floor,,Overall,,,,,,
699370,"CZK 12,000",50.08726,14.45338,"Koněvova, Prague - Žižkov",Small studio,Excellent,30 m²,"CZK 1,500","CZK 12,000",Personal,Brick building,Unfurnished,3,No,No,No,No,Yes,No,No,01. 02. 2022,G,63,271,116,520,18,289,348,412,216,534,,,,,,,,,,,
412397,"CZK 18,000",50.1251937,14.5074785,"Kytlická, Prague - Prosek",1 bedroom with open-plan kitchen,New build,91 m²,"CZK 3,000","CZK 45,000",Personal,Brick building,Partially furnished,1,Yes,Yes,No,No,No,No,Yes,01. 01. 1970,C,243,800,198,"1,024",296,973,191,706,164,,,Central heating,,,,1 to 10 years years,,Yes,,,
626271,"CZK 18,500",50.034486,14.416989,"Branická, Prague - Braník",3 bedroom with open-plan kitchen,Excellent,78 m²,"CZK 4,000","CZK 30,000",Personal,Brick building,Unfurnished,4,No,No,Yes,Yes,Yes,Yes,No,01. 01. 2022,D,199,612,167,103,157,484,485,369,,,,Gas boiler,,,,,,,,,
108759,"CZK 10,500",50.0483486747,14.5587515831,"Boloňská, Prague - Horní Měcholupy",Studio,,33 m²,"CZK 3,000","CZK 27,000",Personal,Brick building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,01. 01. 2022,C,385,"1,033",497,"1,111",184,"1,178",346,312,823,191,,,,,,,,,,,
658032,"CZK 20,900",50.0568,14.37815,"Kačirkova, Prague - Jinonice",1 bedroom with open-plan kitchen,New build,57 m²,"CZK 3,000","CZK 23,900",Personal,Brick building,Furnished,4,Yes,No,Yes,No,Yes,Yes,Yes,01. 04. 2022,A,425,383,567,433,477,975,428,"1,467",364,,Standard materials and solutions,Central heating,Middle floor,,,1 to 10 years years,,Yes,,,
569904,"CZK 12,700",50.0789302,14.457653,"Baranova, Prague - Žižkov",1 bedroom with open-plan kitchen,Excellent,48 m²,"CZK 2,600","CZK 12,700",Personal,Brick building,Partially furnished,5,No,No,Yes,No,No,Yes,No,01. 02. 2022,,194,505,65,266,61,335,483,442,771,198,Standard materials and solutions,Gas boiler,Middle floor,,,,,,,,
116220,"CZK 15,000",50.082281,14.4948969,"Chotutická, Prague - Malešice",2 bedroom,,55 m²,"CZK 1,500","CZK 15,000",,Prefab concrete building,Furnished,2,No,No,Yes,Yes,No,No,No,01. 03. 2022,,338,448,187,490,493,589,229,274,524,79,,District heating,Middle floor,,Overall,,,,,,
