Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Balcony,Terrace,Refundable security deposit,Building type,Condition,EPC,Ownership,Reconstruction,Heating,Designe,Cellar,Garage,Parking,Enclosed balcony,Age,New-build,Plot type,Administrative fee,"You will rent this apartment for approximately CZK 26,625 CZK"
"CZK 18,000","CZK 4,500",721846,2 bedroom,6/10/2022,60 m²,Unfurnished,4,,202.17,846.71,692.34,1021.19,566.73,576.47,790.95,269.14,415.81,415.09,Prague - Smíchov,50.06923,14.39057,,,"CZK 36,000",Brick,Good,C,,,,,,,,,,,,,
"CZK 13,000","CZK 3,000",336584,2+kk,7/25/2022,45 m²,Partly,1,,127.86,1008.79,345.19,790.68,220.34,758.94,476.75,451.34,656.99,226.83,"Pod lázní, Prague - Nusle",50.0581812,14.4426763,,,"CZK 13,000",Brick,Very good,,Personal,Complete,,Standard,,,,,,,,,
"CZK 15,000","CZK 3,000",721852,1 bedroom,6/10/2022,42 m²,Unfurnished,5,,202.17,846.71,692.34,1021.19,566.73,576.47,790.95,269.14,415.81,415.09,Prague - Smíchov,50.06923,14.39057,1.0,,"CZK 30,000",Brick,Very good,C,,,,,,,,,,,,,
"CZK 25,808","CZK 8,602",727609,1 bedroom,9/9/2022,46 m²,Fully furnished,2,,450.08,851.94,613.97,1216.3,634.57,923.06,534.48,156.81,999.06,301.07,"U Pernikářky, Prague - Smíchov",50.0745289,14.3827184,,,,,,,,,,,,,,,,,,,
"CZK 17,000","CZK 5,000",432670,2+kk,8/1/2022,61 m²,Partly,3,1.0,173.61,1571.5,240.86,1756.0,307.37,296.44,884.33,442.41,1115.31,128.41,"Rižská, Prague - Hostivař",50.0437961,14.5149545,1.0,,"CZK 50,000",Brick,,B,Personal,,Central,,,1.0,1.0,,Up to 10 years,1.0,,,
"CZK 20,500","CZK 6,500",543502,3+kk,10/1/2022,72 m²,Fully furnished,2,,559.42,605.35,547.71,2274.02,520.09,617.48,866.23,343.84,510.32,212.41,Prague - Hostivař,50.0535478,14.5459119,,1.0,CZK 0,Brick,,,Personal,,Electric boiler,Standard,,,,,Up to 10 years,1.0,,,
"CZK 13,500","CZK 3,500",631517,Studio,8/1/2022,32 m²,Partly,2,,74.94,1586.57,615.05,2495.7,952.17,1323.0,1520.04,1520.04,1133.44,1037.22,"Polaneckého, Prague - Kbely",50.131642,14.536967,1.0,,"CZK 27,000",Brick,New-build,B,Personal,,Central,Standard,,,,,Up to 10 years,1.0,,,
"CZK 47,340","CZK 15,780",717682,2+kk,8/2/2022,69 m²,Fully furnished,6,1.0,104.56,349.59,143.75,145.93,108.83,150.53,431.56,393.96,289.53,329.01,"Na Maninách, Prague - Holešovice",50.1025661,14.4522431,1.0,1.0,,,,,,,,,,,,,,,,,
"CZK 16,900","CZK 2,500",339576,2+kk,8/1/2022,55 m²,Partly,4,,286.07,387.49,210.51,369.04,453.61,217.87,141.37,225.52,632.89,187.62,"Zelenečská, Prague - Hloubětín",50.108047,14.5385714,,,"CZK 33,800",Brick,,,Personal,Complete,Electric boiler,,,,,,,,,,
"CZK 8,000","CZK 2,000",727953,Small studio,7/30/2022,32 m²,Fully furnished,,,103.92,1299.2,272.44,2455.33,401.78,1390.21,295.46,1409.13,615.38,1136.64,Prague - Ruzyně,50.08359,14.31373,,,"CZK 6,000",Brick,Good,G,,,,,,,,,,,,,
