Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Heating,Total number of floors,PENB,Design,Renovation,New building,Front garden,Administration fee,Developer name,Project name,Kód jednotky
607379,"CZK 14,500",50.074462,14.414953,"Gorazdova, Prague - Nové Město",Studio,24 m²,"CZK 2,900",Furnished,2,No,No,No,No,No,Yes,No,01. 09. 2021,149,414,72,318,57,331,326,674,890,457,Excellent,"CZK 30,000",Personal,Brick building,1 to 10 years years,Central heating,Middle floor,E,Standard materials and solutions,Overall,,,,,,
697776,"CZK 26,111",50.0783621,14.4415313,"Polská, Prague - Vinohrady",3 bedroom with open-plan kitchen,100 m²,"CZK 5,073",,1,No,No,No,No,No,No,No,01. 12. 2021,224,540,240,297,83,267,259,366,91,432,Good,"CZK 31,184",Personal,Other,,,,,,,,,"CZK 2,611",,,
556733,"CZK 11,000",50.0296923,14.6049737,"K Sokolovně, Prague - Uhříněves",1 bedroom,35 m²,"CZK 1,000",Furnished,1,No,No,No,No,No,No,No,12. 01. 2022,101,550,223,559,0,503,130,560,163,419,,"CZK 13,500",Personal,Brick building,,,,C,,,,,,,,
703788,"CZK 12,941",50.0215761,14.4894951,"Jana Růžičky, Prague - Kunratice",1 bedroom with open-plan kitchen,45 m²,"CZK 3,136",,1,No,No,No,No,No,No,No,01. 03. 2022,111,891,165,984,391,184,210,194,471,92,Good,"CZK 16,077",Personal,Other,,,,,,,,,"CZK 1,941",,,
704847,"CZK 19,990",50.0678112,14.3414932,"Plzeňská, Prague - Motol",2 bedroom with open-plan kitchen,72 m²,"CZK 3,896",,1,No,No,No,No,No,No,No,01. 03. 2022,11,780,239,739,"1,414",801,939,,,,Good,"CZK 24,000",,Other,,,,,,,,,"CZK 3,353",,,
704852,"CZK 11,562",50.0590151,14.496039,"Chmelová, Prague - Záběhlice",Studio,27 m²,"CZK 2,099",,1,No,No,No,No,No,No,No,02. 02. 2022,264,618,299,821,536,322,452,831,366,145,Good,"CZK 13,661",Personal,Other,,,,,,,,,"CZK 1,734",,,
704857,"CZK 12,802",50.0594205,14.4500825,"Nuselská, Prague - Michle",1 bedroom,36 m²,"CZK 1,947",,1,No,No,No,No,No,No,No,02. 02. 2022,51,760,54,167,28,730,214,387,732,216,Good,"CZK 16,369",Personal,Other,,,,,,,,,"CZK 1,920",,,
704714,"CZK 15,294",50.1079046,14.5464423,"Lehovecká, Prague - Hloubětín",1 bedroom with open-plan kitchen,56 m²,"CZK 5,034",,1,No,No,No,No,No,No,No,01. 03. 2022,47,825,82,844,397,816,555,419,"1,060",533,Good,"CZK 21,128",Personal,Other,,,,,,,,,"CZK 2,294",,,
704728,"CZK 16,249",50.002025,14.4327323,"Urbánkova , Prague - Modřany",3 bedroom,73 m²,"CZK 2,359",,1,No,No,No,No,No,No,No,02. 02. 2022,524,"1,244",666,259,211,"1,009",84,,,,Good,"CZK 18,608",Personal,Other,,,,,,,,,"CZK 2,437",,,
705228,"CZK 15,675",50.080004,14.422058,"Jungmannova, Prague - Nové Město",1 bedroom with open-plan kitchen,62 m²,"CZK 5,225",Furnished,4,No,No,No,No,No,Yes,No,12. 03. 2022,110,673,119,76,124,213,214,730,474,393,,,,,,,,,,,,,,,,
