Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,Building type,Heating,Floor space,Fully furnished,Condition,Ownership,EPC,Reconstruction,Balcony,Parking,Cellar,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Age,Designe,Enclosed balcony,Domácí mazlíčci vítáni,Terrace,Garage,New-build,Administrative fee
"CZK 14,000","CZK 3,000","CZK 15,000",736195,2+kk,9/11/2022,3,Brick,,38 m²,Unfurnished,Very good,,G,,,,1.0,1.0,133.33,1015.98,234.0,218.2,234.39,302.74,168.61,188.22,304.07,379.63,Prague - Žižkov,50.09172,14.47753,,,,,,,,
"CZK 13,500","CZK 2,500","CZK 25,000",736178,Studio,9/30/2022,4,Other,,23 m²,Partly,New-build,,B,,,,,1.0,280.39,2002.3,609.31,1676.84,1024.62,565.79,824.56,1657.83,1177.39,455.4,Prague - Vysočany,50.102962057472,14.518802683522,,,,,1.0,,1.0,
"CZK 9,200","CZK 2,800","CZK 12,000",253614,Studio,9/30/2022,2,Brick,Central,33 m²,Partly,New-build,Personal,A,,,1.0,1.0,,330.42,3234.09,586.62,3478.5,344.13,2874.01,2204.11,2534.5,2749.63,363.71,"Kestřanská, Prague - Cholupice",49.9889024,14.4450727,Up to 10 years,Standard,,,,1.0,1.0,
"CZK 16,000","CZK 1,744","CZK 16,000",628460,Studio,9/1/2022,1,Brick,Distance,43 m²,Unfurnished,Good,Personal,G,,,,,1.0,327.31,584.04,205.09,356.41,172.42,367.7,158.25,176.48,373.62,150.08,"Kamenická, Prague - Holešovice",50.0976,14.427997,,,,,,,,
"CZK 9,500",CZK 0,"CZK 9,500",643257,4+1,5/1/2022,2,Brick,,143 m²,Partly,Good,Personal,C,,1.0,,,1.0,268.97,523.86,128.31,471.01,98.75,200.35,254.09,224.78,159.24,495.36,"Mánesova, Prague - Vinohrady",50.077916,14.44267,,,,,,,,
"CZK 13,000","CZK 3,500","CZK 20,000",394777,Studio,9/5/2022,1,Brick,,30 m²,Fully furnished,,Personal,A,,,,,,153.65,1091.92,498.72,1004.45,337.18,1046.03,1222.62,1203.94,1142.71,328.59,"Chlupáčova, Prague - Hlubočepy",50.0353336,14.3859746,,,,,,,,
"CZK 14,500","CZK 1,200","CZK 29,000",734033,2+kk,9/6/2022,1,Brick,,33 m²,Unfurnished,Very good,,G,,,,,,323.57,962.34,242.42,636.89,346.36,660.48,373.36,617.87,946.73,449.0,Prague - Vysočany,50.10394,14.50117,,,,,,,,
"CZK 15,000","CZK 3,000","CZK 20,000",682672,Studio,11/1/2022,4,Low-energy,,38 m²,Partly,New-build,Personal,B,,1.0,1.0,,1.0,274.79,810.12,422.82,622.93,137.36,665.53,568.22,316.0,355.76,133.63,"Olgy Havlové, Prague - Žižkov",50.0886644,14.484117,Up to 10 years,,1.0,,,1.0,1.0,
"CZK 21,000","CZK 3,000","CZK 21,000",703730,2+kk,9/1/2022,5,Brick,Central,47 m²,Fully furnished,Very good,Cooperative,C,Complete,1.0,,1.0,1.0,138.12,339.19,73.34,545.9,50.64,130.55,131.69,140.41,506.35,322.32,"Vítkova, Prague - Karlín",50.09182,14.44512,10 to 30 years,Standard,,,,,,
"CZK 18,000","CZK 4,500","CZK 36,000",616112,2+kk,11/1/2022,5,Brick,Distance,54 m²,Fully furnished,New-build,Cooperative,G,,1.0,,,1.0,470.34,1535.86,900.1,4153.08,589.73,876.81,1259.54,3402.58,1334.26,512.72,"Honzíkova, Prague - Dolní Měcholupy",50.06814,14.557242,,,,,,,,
