Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,Age,Design,Heating,Total number of floors,Renovation,PENB,New building,Administration fee,Front garden,Developer name,Project name,Kód jednotky
326191,"CZK 9,000",50.1160844,14.5019544,"Nad Krocínkou, Prague - Prosek",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Partially furnished,,No,No,No,No,No,No,No,,112,898,271,326,357,404,699,657,539,240,,,Personal,Brick building,,,,,,,,,,,,
704062,"CZK 11,990",50.12341805555,14.63142388888,"U Zimoviště, Prague - Horní Počernice",1 bedroom with open-plan kitchen,57 m²,"CZK 2,319",Partially furnished,2,No,No,No,No,No,No,No,,355,764,"1,469",778,659,362,,,,,New build,"CZK 14,309",Personal,Brick building,,,,,,B,Yes,"CZK 14,309

                                
                                
                
i",,,,
553489,"CZK 24,000",50.0691881,14.3994734,"Na Zatlance, Prague - Smíchov",2 bedroom with open-plan kitchen,79 m²,"CZK 3,700",Unfurnished,3,No,No,Yes,No,Yes,Yes,Yes,01. 02. 2022,214,69,81,454,198,176,360,584,799,336,Excellent,"CZK 28,000",Personal,Brick building,1 to 10 years years,Premium materials and solutions,Gas boiler,,,C,,,,,,
700454,"CZK 14,500",50.03169,14.53943,"Štichova, Prague - Háje",2 bedroom with open-plan kitchen,56 m²,"CZK 4,000",Furnished,5,No,No,No,Yes,No,Yes,No,01. 02. 2022,374,724,647,692,479,855,648,350,714,207,Good,"CZK 20,000",Personal,Prefab concrete building,,,,,,G,,,,,,
132016,"CZK 18,000",50.1010657,14.5049,"U Harfy, Prague - Vysočany",2 bedroom,95 m²,CZK 450,Partially furnished,2,Yes,No,No,No,No,No,No,01. 06. 2018,221,"1,132",241,963,286,745,243,"1,059","1,249",787,,"CZK 18,000",Personal,Brick building,,,,,,,,,,,,
623290,"CZK 17,500",50.064877,14.42824,"Jaromírova, Prague - Nusle",1 bedroom with open-plan kitchen,37 m²,"CZK 3,400",,2,No,No,No,No,No,No,No,01. 06. 2021,150,490,83,509,147,216,470,608,470,365,Excellent,"CZK 35,000",Personal,Brick building,,,,,,B,,,,,,
129979,"CZK 18,500",50.0775642,14.4239107,"Školská, Prague - Nové Město",2 bedroom,70 m²,"CZK 4,000",Furnished,2,No,No,No,No,No,No,No,16. 01. 2022,173,601,24,304,52,294,218,354,350,291,,"CZK 37,000",Personal,Brick building,10 to 30 years years,Standard materials and solutions,Gas boiler,Middle floor,Interior,,,,,,,
278595,"CZK 13,000",50.0568456,14.400103,"Nad Kesnerkou, Prague - Smíchov",1 bedroom with open-plan kitchen,45 m²,"CZK 3,000",Partially furnished,1,No,No,No,No,No,No,No,17. 02. 2022,233,"1,093",402,"1,010",391,823,612,572,226,,,,Personal,Brick building,over 50 years years,,Gas boiler,Middle floor,Overall,A,,,150 m²,,,
704057,"CZK 13,990",50.09041027777,14.30721916666,"Ciolkovského, Prague - Ruzyně",1 bedroom with open-plan kitchen,43 m²,"CZK 2,909",Unfurnished,9,No,No,No,No,No,Yes,No,,188,229,135,122,241,179,323,"1,390","1,425",145,Excellent,"CZK 16,899",Personal,Prefab concrete building,,,,,,C,,"CZK 16,899

                                
                                
                
i",,,,
632315,"CZK 17,000",50.103938,14.503869,"Pod Harfou, Prague - Vysočany",1 bedroom with open-plan kitchen,67 m²,"CZK 4,500",Partially furnished,4,Yes,Yes,No,No,Yes,Yes,Yes,01. 04. 2022,214,960,250,628,414,752,331,725,942,452,New build,"CZK 17,000",Personal,Prefab concrete building,,,,,,A,,,,,,
