Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Floor,New building,Age,Design,Front garden,Heating,Total number of floors,Renovation,Administration fee,Developer name,Project name,Kód jednotky
694969,"CZK 12,000",50.10191,14.5049,"Poděbradská, Prague - Vysočany",1 bedroom,Excellent,35 m²,"CZK 3,000","CZK 15,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,04. 12. 2021,C,174,"1,086",194,916,239,699,197,"1,012","1,202",740,2,,,,,,,,,,,
672927,"CZK 16,400",50.08022,14.41747,"V Jirchářích, Prague - Nové Město",1 bedroom with open-plan kitchen,New build,34 m²,"CZK 3,500","CZK 20,000",Personal,Brick building,Furnished,Yes,No,No,No,Yes,No,No,28. 12. 2021,G,305,714,105,269,22,247,171,367,180,542,1,,,,,,,,,,,
221013,"CZK 13,000",50.04877,14.44457,"Hanusova, Prague - Michle",Studio,New build,40 m²,"CZK 3,000","CZK 13,000",Personal,Brick building,Furnished,No,No,No,No,No,No,No,12. 01. 2022,A,290,454,285,331,259,288,663,717,866,473,6,Yes,1 to 10 years years,,,District heating,Middle floor,Overall,,,,
573125,"CZK 9,000",50.0295549,14.4496702,"Štúrova, Prague - Krč",Studio,,19 m²,"CZK 2,000","CZK 10,000",Personal,Prefab concrete building,Unfurnished,No,No,No,No,No,No,No,,D,312,"1,483",0,0,761,"1,031","1,357",748,569,,11,,,,,,,,,,,
551267,"CZK 12,900",50.0707135,14.462234,"Dvacátého osmého pluku, Prague - Vršovice",2 bedroom,,54 m²,"CZK 2,900","CZK 12,000",Personal,Brick building,Unfurnished,Yes,No,No,No,No,No,No,,,76,825,20,557,133,600,326,294,845,491,3,,,,,Gas boiler,Middle floor,,,,,
699109,"CZK 15,000",50.06052,14.43465,Prague - Nusle,1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,000","CZK 30,000",Personal,Brick building,Partially furnished,No,No,No,No,No,No,No,01. 02. 2022,G,212,857,50,577,126,525,247,566,488,380,2,,,,,,,,,,,
634253,"CZK 14,300",50.076818,14.421242,"Karlovo náměstí, Prague - Nové Město",1 bedroom,Excellent,38 m²,"CZK 2,600","CZK 12,300",Personal,Brick building,Furnished,No,No,No,No,No,No,No,15. 01. 2022,B,179,318,51,239,42,9,336,426,578,373,2,,1 to 10 years years,Premium materials and solutions,,Gas boiler,Middle floor,Overall,,,,
699106,"CZK 12,500",50.0882,14.48411,"Olgy Havlové, Prague - Žižkov",Studio,New build,38 m²,"CZK 2,000","CZK 25,000",Personal,Low-energy building,Partially furnished,No,No,No,No,No,Yes,No,12. 01. 2022,B,331,899,373,733,217,776,600,467,464,245,3,Yes,1 to 10 years years,,,,,,,,,
629719,"CZK 32,000",50.071553,14.410305,"Hořejší Nábřeží, Prague - Smíchov",3 bedroom,Excellent,93 m²,"CZK 2,000","CZK 32,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,07. 01. 2022,G,283,734,100,219,210,449,716,850,773,333,1,,10 to 30 years years,Standard materials and solutions,,Gas boiler,Middle floor,,,,,
686320,"CZK 22,000",50.09314,14.45965,"Kubova, Prague - Karlín",2 bedroom,Good,60 m²,"CZK 2,000","CZK 22,000",Personal,Brick building,Furnished,No,No,No,No,No,Yes,No,07. 01. 2022,G,356,980,203,581,238,444,101,"1,170",495,26,5,,,,,,,,,,,
