Price,Fees,Listing ID,Layout,Avaliable from,Floor space,Fully furnished,Floor,Lift,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Refundable security deposit,Building type,Age,Reconstruction,Condition,Ownership,EPC,Heating,Designe,Terrace,Balcony,New-build,Garage,Parking,Enclosed balcony,Domácí mazlíčci vítáni,Cellar,Administrative fee
"CZK 12,000","CZK 3,600",629000,Studio,9/1/2022,36 m²,Fully furnished,1,,153.57,1893.59,1056.27,1652.45,259.8,1300.11,747.91,1361.25,1126.04,670.04,"Mezi vodami, Prague - Modřany",50.01361,14.401305,"CZK 24,000",Other,,,New-build,Personal,B,Distance,,,,,,,,,1.0,
"CZK 25,000","CZK 3,500",731053,3+1,1/15/2023,80 m²,Partly,2,,163.29,926.49,454.19,902.87,485.67,704.88,995.26,691.9,560.36,279.85,Prague - Dejvice,50.09722,14.37377,"CZK 25,000",Brick,,,Very good,,G,,,,1.0,,,,,,1.0,
"CZK 13,500",CZK 0,731728,2+kk,8/30/2022,42 m²,Partly,6,,305.27,730.44,204.38,440.06,215.35,355.2,355.33,555.91,337.08,262.6,Prague - Libeň,50.10809,14.47559,"CZK 20,000",Brick,,,Very good,,E,,,,,,,,,,1.0,
"CZK 15,000","CZK 3,000",731719,2+kk,9/5/2022,39 m²,Fully furnished,2,1.0,112.71,680.29,98.55,583.99,92.22,493.64,176.53,500.12,341.52,268.34,Prague - Nusle,50.06146,14.43617,"CZK 30,000",Brick,,,Good,,C,,,,,,,,,,,
"CZK 15,500","CZK 4,000",731640,2 bedroom,9/15/2022,57 m²,Partly,1,,42.28,1333.45,38.11,1050.56,53.56,352.31,487.68,225.33,739.54,307.67,Prague - Strašnice,50.06666,14.49611,"CZK 19,500",Brick,,,Good,,B,Central,,,,,,1.0,,,,
"CZK 37,500","CZK 12,500",728060,1 bedroom,9/24/2022,50 m²,Fully furnished,2,,187.82,338.29,111.0,241.4,39.4,347.76,25.85,486.49,569.58,575.91,"Karmelitská, Prague - Malá Strana",50.08657,14.4033198,,,,,,,,,,,,,,,,,,
"CZK 12,999","CZK 2,999",661680,Studio,10/1/2022,34 m²,Fully furnished,3,,426.94,712.38,385.38,392.11,337.62,363.52,409.86,737.2,814.72,12.05,"Kvestorská, Prague - Michle",50.04843,14.44784,"CZK 26,000",Other,,Complete,Very good,Personal,D,Distance,Luxurious,,,,,1.0,1.0,,1.0,
"CZK 22,500","CZK 4,281",728700,3+kk,8/5/2022,68 m²,Partly,4,1.0,227.19,694.52,292.56,947.84,372.07,273.0,572.29,459.35,1024.68,123.64,Prague - Chodov,50.02741,14.5197,"CZK 45,000",Prefab concrete,,,Very good,Personal,G,Central,,,,,,,1.0,,1.0,
"CZK 15,500","CZK 5,000",704676,Studio,9/1/2022,25 m²,Fully furnished,1,1.0,258.87,1176.88,518.78,460.6,457.79,197.31,707.5,932.29,451.17,572.73,"Lisabonská, Prague - Libeň",50.10365925,14.496393654922,"CZK 20,500",Brick,,Complete,New-build,Personal,G,Central,,,,,,,,,,
"CZK 24,000","CZK 4,000",624407,2+kk,10/1/2022,56 m²,Partly,3,1.0,113.45,1478.64,27.42,1518.61,75.78,86.71,646.95,252.43,1173.65,178.35,"Bratislavská, Prague - Hostivař",50.044404,14.518172,"CZK 28,000",Prefab concrete,Up to 10 years,Interior,Very good,Personal,G,Distance,Standard,,1.0,,,1.0,,,,
