Listing ID,Price,Latitude,Longitude,District,Layout,Condition,Floor Space,Fees,Refundable security deposit,Ownership Type,Building Type,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,PENB,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,New building,Age,Design,Total number of floors,Front garden,Heating,Renovation,Administration fee,Developer name,Project name,Kód jednotky,Investment Advisor
706855,"CZK 27,000",50.07376,14.4094,"Janáčkovo nábřeží, Prague - Smíchov",3 bedroom,Excellent,116 m²,"CZK 1,000","CZK 54,000",Personal,Brick building,Partially furnished,1,No,No,Yes,No,No,Yes,No,06. 03. 2022,G,262,441,205,366,124,520,448,"1,069","1,283",675,,,Premium materials and solutions,Middle floor,,Gas boiler,Overall,,,,,
698706,"CZK 12,500",50.1095021,14.4754433,"Pivovarnická, Prague - Libeň",1 bedroom,Good,41 m²,"CZK 2,700","CZK 20,000",Personal,Brick building,Partially furnished,4,No,No,Yes,No,No,Yes,No,01. 03. 2022,G,271,902,243,593,391,321,372,594,339,150,,,,,,,,,,,,
648503,"CZK 14,500",50.0812,14.50015,"Počernická, Prague - Malešice",Studio,New build,40 m²,"CZK 5,600","CZK 25,000",Personal,Brick building,Furnished,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01. 04. 2022,A,160,320,71,140,191,53,337,714,946,142,Yes,1 to 10 years years,Premium materials and solutions,Middle floor,5 m²,District heating,Interior,,,,,
707694,"CZK 13,490",50.05653277777,14.43214805555,"Dačického, Prague - Nusle",1 bedroom with open-plan kitchen,Excellent,58 m²,"CZK 2,399","CZK 15,889",Personal,Brick building,Unfurnished,3,No,No,Yes,No,No,Yes,No,,D,129,955,179,262,173,390,730,456,162,260,,,,,,,,"CZK 15,889

                                
                                
                
i",,,,
683123,"CZK 13,500",50.09945,14.4709,"Na Kopečku, Prague - Libeň",1 bedroom,Good,49 m²,"CZK 3,000","CZK 17,000",Personal,Brick building,Unfurnished,3,No,No,No,No,No,Yes,No,17. 02. 2022,E,433,656,466,609,383,639,541,265,322,560,,,Standard materials and solutions,Middle floor,,Central heating,,,,,,
602012,"CZK 10,000",50.017333,14.435375,"U Kamýku, Prague - Kamýk",Studio,Excellent,40 m²,"CZK 4,700","CZK 15,000",,Brick building,Furnished,3,Yes,No,No,No,No,Yes,No,20. 02. 2022,G,100,"1,018",176,"1,010",411,318,482,715,426,329,,1 to 10 years years,,,,Central heating,,,,,,
352869,"CZK 11,900",50.0561574,14.5133831,"Jasmínová, Prague - Záběhlice",1 bedroom,Excellent,40 m²,"CZK 3,200","CZK 11,900",Personal,Prefab concrete building,Partially furnished,2,No,No,No,Yes,No,Yes,No,17. 01. 2022,C,67,529,326,492,404,534,549,804,840,192,,1 to 10 years years,,Middle floor,,District heating,Overall,,,,,
707650,"CZK 17,500",50.04017,14.33576,"Tlumačovská, Prague - Stodůlky",1 bedroom with open-plan kitchen,Excellent,51 m²,"CZK 2,500","CZK 35,000",Personal,Prefab concrete building,Furnished,2,No,No,No,No,Yes,Yes,No,04. 03. 2022,D,111,636,0,607,386,13,353,618,377,360,,,,,,,,,,,,
618247,"CZK 14,500",50.070905,14.451851,"Moskevská, Prague - Vršovice",Studio,New build,53 m²,"CZK 1,500","CZK 29,000",Personal,Brick building,,4,No,No,No,No,No,No,No,21. 02. 2022,G,53,582,16,165,45,437,94,344,273,260,,,,,,,,,,,,
699655,"CZK 19,000",50.0721,14.47159,"Bělocerkevská, Prague - Vršovice",3 bedroom,Excellent,65 m²,"CZK 4,000","CZK 19,000",Personal,Prefab concrete building,Partially furnished,4,Yes,No,Yes,No,No,Yes,No,17. 01. 2022,G,123,489,113,398,315,4,495,383,602,229,,,,,,,,,,,,
