Price,Fees,Refundable security deposit,Listing ID,Layout,Avaliable from,Floor,EPC,Floor space,Fully furnished,Condition,Building type,Cellar,Lift,Domácí mazlíčci vítáni,Enclosed balcony,public_transport,post,shop,bank,restaurant,pharmacy,school,kindergarten,sports_field,playground,District,Latitude,Longitude,Heating,Designe,Ownership,Reconstruction,Age,Terrace,Parking,New-build,Balcony,Garage,Administrative fee,Plot type
"CZK 26,000","CZK 3,700","CZK 50,000",731045,2+kk,8/24/2022,1,B,48 m²,Fully furnished,New-build,Brick,,1.0,,,152.75,963.53,293.54,1377.9,146.79,1254.69,1052.33,930.46,622.51,550.29,Prague - Řepy,50.06812,14.29404,,Luxurious,,,Up to 10 years,1.0,1.0,1.0,,1.0,,
"CZK 18,750","CZK 6,250",,729015,3+1,10/22/2022,2,,90 m²,Fully furnished,,,,1.0,,,82.8,397.93,96.94,404.98,135.48,353.78,131.46,217.55,654.74,661.34,"Blanická, Prague - Vinohrady",50.0746503,14.439294,,,,,,,,,,,,
"CZK 33,000","CZK 11,000",,719175,2 bedroom,9/2/2022,-1,,50 m²,Fully furnished,,,,1.0,,,210.86,382.06,250.08,989.18,169.53,744.75,811.66,1049.67,387.48,543.22,"Strakonická, Prague - Smíchov",50.0643299,14.4102127,,,,,,,,,,,,
"CZK 7,000","CZK 4,000","CZK 11,000",244227,Small studio,9/1/2022,,,27 m²,Unfurnished,New-build,Brick,,,,,44.75,354.96,24.69,319.69,185.62,289.46,387.77,572.6,271.22,293.77,"Koněvova, Prague - Žižkov",50.0888925,14.4603288,Central,Standard,Personal,Complete,Up to 10 years,,,1.0,,,,
"CZK 22,000","CZK 4,000","CZK 26,000",240526,2+kk,9/1/2022,7,,62 m²,,,Brick,1.0,1.0,,,275.03,629.24,55.34,441.72,67.99,393.86,323.27,897.37,163.39,111.95,"U Uranie, Prague - Holešovice",50.1067006,14.4519976,Central,Luxurious,Personal,,Up to 10 years,,,,1.0,1.0,,
"CZK 18,500","CZK 3,000","CZK 30,000",567194,2+kk,9/1/2022,1,G,68 m²,Fully furnished,Very good,Brick,,,,,285.66,2069.77,240.71,1789.58,596.4,336.05,1506.92,381.52,1344.42,107.42,"Bolívarova, Prague - Břevnov",50.0761438,14.3363845,Gas boiler,,Personal,Complete,,1.0,,,,,,
"CZK 16,000","CZK 2,500","CZK 32,000",673649,Studio,10/1/2022,5,G,26 m²,Fully furnished,Very good,Brick,,1.0,,,60.98,721.34,75.87,68.33,38.37,9.05,345.05,453.26,425.76,314.33,"Jana Želivského, Prague - Žižkov",50.08965,14.46868,Electric boiler,,Personal,,,,,,,,,
"CZK 17,000","CZK 5,000","CZK 30,000",455652,2+kk,9/15/2022,2,,51 m²,Fully furnished,,Brick,1.0,1.0,,,259.36,1517.01,235.36,2048.68,603.92,970.89,1682.21,2446.37,588.77,72.12,"U Hostavického potoka, Prague - Hostavice",50.0860735,14.5636797,Distance,,Personal,,Up to 10 years,,1.0,,1.0,1.0,,
"CZK 14,500","CZK 2,500","CZK 25,000",612251,Studio,9/1/2022,1,B,25 m²,,New-build,Brick,,,,,211.15,237.15,355.34,868.62,194.77,283.9,145.14,177.97,611.03,466.53,"Omská, Prague - Vršovice",50.072914,14.478114,,,Personal,,,,,,,,,
"CZK 21,000","CZK 7,000","CZK 30,000",312846,3+1,10/15/2022,4,C,78 m²,Partly,Very good,Brick,,,,,224.41,326.27,369.08,535.55,344.51,441.14,189.51,793.2,1960.26,232.34,"U Kříže, Prague - Jinonice",50.0539125,14.3681254,Gas boiler,Standard,Personal,,10 to 30 years,,,,,,,
"CZK 13,499",CZK 1,"CZK 13,500",731868,Small studio,9/5/2022,,G,22 m²,Fully furnished,Very good,Brick,,,,,174.54,791.67,834.8,804.72,588.07,1362.65,523.38,633.06,1128.55,513.73,Prague - Záběhlice,50.04202,14.48698,,,,,,,,,,,,
"CZK 14,000",CZK 600,"CZK 14,000",731863,2+kk,8/31/2022,4,G,61 m²,Partly,Good,Brick,,,,,88.55,218.51,87.34,265.33,101.22,363.34,431.17,555.65,409.01,250.43,Prague - Vršovice,50.067,14.4571,,,,,,,,,1.0,,,
