Listing ID,Price,Latitude,Longitude,District,Layout,Floor Space,Fees,Furnishing and Fittings,Floor,Balcony,Terrace,Cellar,Loggia,Parking,Lift,Garage,Available from,Public transport stop,Post office,Shop,Bank,Restaurant,Pharmacy,School,Kindergarten,Sports field,Playground,Condition,Refundable security deposit,Ownership Type,Building Type,PENB,Design,Heating,Renovation,Age,Total number of floors,New building,Front garden,Developer name,Project name,Kód jednotky,Administration fee
696106,"CZK 20,000",50.07316,14.43293,"Bělehradská, Prague - Vinohrady",2 bedroom,80 m²,"CZK 1,000",Unfurnished,2,Yes,No,No,No,No,No,No,14. 12. 2021,20,335,5,109,28,142,206,255,692,780,Excellent,"CZK 20,000",Personal,Brick building,G,,,,,,,,,,,
695066,"CZK 20,000",50.10188313919,14.452900916946,"Tusarova, Prague - Holešovice",1 bedroom with open-plan kitchen,51 m²,"CZK 3,000",Furnished,5,Yes,No,No,No,No,Yes,No,01. 01. 2022,175,534,82,256,31,192,396,358,179,289,New build,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,
695007,"CZK 13,000",50.101802239666,14.452645931906,"Tusarova, Prague - Holešovice",Studio,30 m²,"CZK 2,500",Furnished,5,No,No,No,No,No,Yes,No,01. 01. 2022,171,523,79,246,9,188,385,347,96,262,New build,"CZK 20,000",Personal,Brick building,B,,,,,,,,,,,
685842,"CZK 22,000",50.0849763,14.4166195,"Liliová, Prague - Staré Město",1 bedroom with open-plan kitchen,59 m²,"CZK 8,500",Furnished,1,No,No,No,No,No,Yes,No,01. 10. 2021,295,456,131,473,16,50,422,735,463,100,Excellent,"CZK 44,000",Personal,Brick building,B,,,,,,,,,,,
278329,"CZK 9,800",50.1408794,14.5068988,"Malkovského, Prague - Letňany",Studio,33 m²,"CZK 2,300",Partially furnished,8,Yes,No,Yes,No,No,Yes,No,05. 01. 2022,260,926,116,970,422,291,488,349,422,204,Excellent,"CZK 22,000",Personal,Other,,Standard materials and solutions,Electric boiler,,,Middle floor,,,,,,
118847,"CZK 11,000",50.0816415,14.4579484,"Sudoměřská, Prague - Žižkov",1 bedroom,36 m²,"CZK 3,000",Partially furnished,3,No,No,No,No,No,Yes,No,,157,489,135,150,119,658,266,91,420,333,,"CZK 22,000",Other,Brick building,,,,,,,,,,,,
695634,"CZK 25,000",50.08599,14.46719,"Malešická, Prague - Žižkov",1 bedroom with open-plan kitchen,80 m²,"CZK 8,124",Furnished,1,No,Yes,Yes,No,No,Yes,No,08. 12. 2021,311,439,356,522,221,362,698,218,225,247,New build,"CZK 53,000",Personal,Brick building,C,Premium materials and solutions,District heating,,1 to 10 years years,Ground floor,,35 m²,,,,
212896,"CZK 14,900",50.067383,14.455164,"Oblouková, Prague - Vršovice",1 bedroom with open-plan kitchen,60 m²,"CZK 3,000",Partially furnished,2,No,No,Yes,No,No,Yes,No,01. 10. 2021,158,41,150,209,0,209,263,453,215,444,Good,"CZK 15,000",Personal,Brick building,,,Gas boiler,Interior,over 50 years years,Middle floor,,,,,,
696073,"CZK 9,000",50.0069821,14.4247561,Prague - Modřany,Studio,32 m²,"CZK 3,600",,,No,No,No,No,No,Yes,No,Ihned,217,546,368,535,341,620,568,605,674,302,Excellent,"CZK 9,000",Personal,Prefab concrete building,,,,,,,,,,,,
638943,"CZK 10,000",50.128049,14.502019,"Chotěšovská, Prague - Letňany",Small studio,32 m²,"CZK 2,000",Partially furnished,3,No,No,No,No,No,Yes,No,01. 02. 2022,289,905,97,934,677,843,423,583,214,,New build,"CZK 24,000",Personal,Low-energy building,G,,,,,,,,,,,
